course title,course url,course description,Ratings,reviews,duration,Lectures,course level,instructors
Apache Spark with Scala - Hands On with Big Data!,https://www.udemy.com/course/apache-spark-with-scala-hands-on-with-big-data/,"Apache Spark tutorial with 20+  hands-on examples of analyzing large data sets, on your desktop or on Hadoop with Scala!",Rating: 4.6 out of 5,15978 reviews,9 total hours,68 lectures,All Levels,"Sundog Education by Frank Kane, Frank Kane, Sundog Education Team"
Data Science and Machine Learning Bootcamp with R,https://www.udemy.com/course/data-science-and-machine-learning-bootcamp-with-r/,Learn how to use the R programming language for data science and machine learning and data visualization!,Rating: 4.8 out of 5,15223 reviews,18 total hours,128 lectures,All Levels,Jose Portilla
Taming Big Data with Apache Spark and Python - Hands On!,https://www.udemy.com/course/taming-big-data-with-apache-spark-hands-on/,PySpark tutorial with 20+  hands-on examples of analyzing large data sets on your desktop or on Hadoop with Python!,Rating: 4.5 out of 5,13478 reviews,7 total hours,65 lectures,All Levels,"Sundog Education by Frank Kane, Frank Kane, Sundog Education Team"
Complete Machine Learning & Data Science Bootcamp 2022,https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/,"Learn Data Science, Data Analysis, Machine Learning (Artificial Intelligence) and Python with Tensorflow, Pandas & more!",Rating: 4.6 out of 5,12204 reviews,44 total hours,378 lectures,All Levels,"Andrei Neagoie, Daniel Bourke, Zero To Mastery"
Introduction to Machine Learning for Data Science,https://www.udemy.com/course/machine-learning-for-data-science/,"A primer on Machine Learning for Data Science.  Revealed for everyday people, by the Backyard Data Scientist.",Rating: 4.5 out of 5,11926 reviews,5.5 total hours,62 lectures,Beginner,David Valentine
NLP - Natural Language Processing with Python,https://www.udemy.com/course/nlp-natural-language-processing-with-python/,"Learn to use Machine Learning, Spacy, NLTK, SciKit-Learn, Deep Learning, and more to conduct Natural Language Processing",Rating: 4.6 out of 5,11695 reviews,11.5 total hours,80 lectures,Intermediate,Jose Portilla
Data Science: Natural Language Processing (NLP) in Python,https://www.udemy.com/course/data-science-natural-language-processing-in-python/,"Applications: decrypting ciphers, spam detection, sentiment analysis, article spinners, and latent semantic analysis.",Rating: 4.6 out of 5,11075 reviews,12 total hours,88 lectures,All Levels,Lazy Programmer Inc.
Statistics for Business Analytics and Data Science A-Z™,https://www.udemy.com/course/data-statistics/,"Learn The Core Stats For A Data Science Career. Master Statistical Significance, Confidence Intervals And Much More!",Rating: 4.6 out of 5,9992 reviews,6 total hours,42 lectures,All Levels,"Kirill Eremenko, Ligency I Team, Ligency Team"
Artificial Intelligence: Reinforcement Learning in Python,https://www.udemy.com/course/artificial-intelligence-reinforcement-learning-in-python/,"Complete guide to Reinforcement Learning, with Stock Trading and Online Advertising Applications",Rating: 4.7 out of 5,9203 reviews,14.5 total hours,111 lectures,Intermediate,"Lazy Programmer Team, Lazy Programmer Inc."
2022 Python for Machine Learning & Data Science Masterclass,https://www.udemy.com/course/python-for-machine-learning-data-science-masterclass/,"Learn about Data Science and Machine Learning with Python! Including Numpy, Pandas, Matplotlib, Scikit-Learn and more!",Rating: 4.6 out of 5,9056 reviews,44 total hours,231 lectures,All Levels,Jose Portilla
Data Science: Deep Learning and Neural Networks in Python,https://www.udemy.com/course/data-science-deep-learning-in-python/,"The MOST in-depth look at neural network theory for machine learning, with both pure Python and Tensorflow code",Rating: 4.6 out of 5,8570 reviews,11 total hours,89 lectures,Intermediate,Lazy Programmer Inc.
R Programming: Advanced Analytics In R For Data Science,https://www.udemy.com/course/r-analytics/,"Take Your R & R Studio Skills To The Next Level. Data Analytics, Data Science, Statistical Analysis in Business, GGPlot2",Rating: 4.7 out of 5,8037 reviews,6 total hours,54 lectures,Intermediate,"Kirill Eremenko, Ligency I Team, Ligency Team"
Interactive Python Dashboards with Plotly and Dash,https://www.udemy.com/course/interactive-python-dashboards-with-plotly-and-dash/,"Learn how to create interactive plots and intelligent dashboards with Plotly, Python, and the Dash library!",Rating: 4.7 out of 5,7644 reviews,9.5 total hours,69 lectures,Intermediate,Jose Portilla
Tensorflow 2.0: Deep Learning and Artificial Intelligence,https://www.udemy.com/course/deep-learning-tensorflow-2/,"Machine Learning & Neural Networks for Computer Vision, Time Series Analysis, NLP, GANs, Reinforcement Learning, +More!",Rating: 4.6 out of 5,7621 reviews,22 total hours,134 lectures,All Levels,"Lazy Programmer Inc., Lazy Programmer Team"
Natural Language Processing with Deep Learning in Python,https://www.udemy.com/course/natural-language-processing-with-deep-learning-in-python/,"Complete guide on deriving and implementing word2vec, GloVe, word embeddings, and sentiment analysis with recursive nets",Rating: 4.7 out of 5,6999 reviews,12 total hours,95 lectures,Expert,"Lazy Programmer Team, Lazy Programmer Inc."
DP-900 Azure Data Fundamentals Exam Prep In One Day,https://www.udemy.com/course/dp900-azure/,Learn the basics of Azure database services and get certified with this complete DP-900 course!,Rating: 4.5 out of 5,6557 reviews,2.5 total hours,37 lectures,Beginner,"Scott Duffy  • 700.000+ Students, Software Architect.ca"
Complete Tensorflow 2 and Keras Deep Learning Bootcamp,https://www.udemy.com/course/complete-tensorflow-2-and-keras-deep-learning-bootcamp/,Learn to use Python for Deep Learning with Google's latest Tensorflow 2 library and Keras!,Rating: 4.7 out of 5,6535 reviews,19 total hours,116 lectures,All Levels,Jose Portilla
"Deep Learning and Computer Vision A-Z™: OpenCV, SSD & GANs",https://www.udemy.com/course/computer-vision-a-z/,Become a Wizard of all the latest Computer Vision tools that exist out there. Detect anything and create powerful apps.,Rating: 4.3 out of 5,6301 reviews,11 total hours,86 lectures,All Levels,"Hadelin de Ponteves, Kirill Eremenko, Ligency I Team, Ligency Team"
Bayesian Machine Learning in Python: A/B Testing,https://www.udemy.com/course/bayesian-machine-learning-in-python-ab-testing/,"Data Science, Machine Learning, and Data Analytics Techniques for Marketing, Digital Media, Online Advertising, and More",Rating: 4.6 out of 5,5569 reviews,10.5 total hours,79 lectures,All Levels,Lazy Programmer Inc.
Probability and Statistics for Business and Data Science,https://www.udemy.com/course/probability-and-statistics-for-business-and-data-science/,Learn how to apply probability and statistics to real data science and business applications!,Rating: 4.6 out of 5,5423 reviews,5 total hours,53 lectures,All Levels,Jose Portilla
Deep Learning Prerequisites: Linear Regression in Python,https://www.udemy.com/course/data-science-linear-regression-in-python/,"Data science, machine learning, and artificial intelligence in Python for students and professionals",Rating: 4.7 out of 5,5411 reviews,6.5 total hours,53 lectures,All Levels,Lazy Programmer Inc.
The Complete Machine Learning Course with Python,https://www.udemy.com/course/machine-learning-course-with-python/,"Build a Portfolio of 12 Machine Learning Projects with Python, SVM, Regression, Unsupervised Machine Learning & More!",Rating: 4.6 out of 5,5342 reviews,17.5 total hours,111 lectures,All Levels,"Codestars by Rob Percival, Anthony NG, Rob Percival"
Scala and Spark for Big Data and Machine Learning,https://www.udemy.com/course/scala-and-spark-for-big-data-and-machine-learning/,"Learn the latest Big Data technology - Spark and Scala, including Spark 2.0 DataFrames!",Rating: 4.3 out of 5,5050 reviews,10 total hours,80 lectures,All Levels,Jose Portilla
Machine Learning & Deep Learning in Python & R,https://www.udemy.com/course/data_science_a_to_z/,"Covers Regression, Decision Trees, SVM, Neural Networks, CNN, Time Series Forecasting and more using both Python & R",Rating: 4.4 out of 5,4914 reviews,33 total hours,267 lectures,All Levels,Start-Tech Academy
SQL & Database Design A-Z™: Learn MS SQL Server + PostgreSQL,https://www.udemy.com/course/sqldatabases/,Learn Both SQL Server & PostgreSQL By Doing. Enhance Your Data Analytics Career With Real World Data Science Exercises,Rating: 4.5 out of 5,4803 reviews,12.5 total hours,104 lectures,All Levels,"Kirill Eremenko, Ilya Eremenko, Ligency I Team, Ligency Team"
"Deep Learning: Advanced Computer Vision (GANs, SSD, +More!)",https://www.udemy.com/course/advanced-computer-vision/,"VGG, ResNet, Inception, SSD, RetinaNet, Neural Style Transfer, GANs +More in Tensorflow, Keras, and Python",Rating: 4.5 out of 5,4757 reviews,15 total hours,109 lectures,Intermediate,Lazy Programmer Inc.
TensorFlow Developer Certificate in 2022: Zero to Mastery,https://www.udemy.com/course/tensorflow-developer-certificate-machine-learning-zero-to-mastery/,"Pass the TensorFlow Developer Certification Exam by Google. Become an AI, Machine Learning, and Deep Learning expert!",Rating: 4.7 out of 5,4720 reviews,63.5 total hours,422 lectures,All Levels,"Andrei Neagoie, Daniel Bourke, Zero To Mastery"
Statistics for Data Analysis Using Excel 2016,https://www.udemy.com/course/statistics-using-excel/,Plain & Simple Lessons on Descriptive & Inferential Statistics Theory With Excel Examples for Business & Six Sigma,Rating: 4.6 out of 5,4647 reviews,14.5 total hours,114 lectures,All Levels,"Sandeep Kumar, ­ Quality Gurus Inc."
Deep Learning: Convolutional Neural Networks in Python,https://www.udemy.com/course/deep-learning-convolutional-neural-networks-theano-tensorflow/,"Tensorflow 2 CNNs for Computer Vision, Natural Language Processing (NLP) +More! For Data Science & Machine Learning",Rating: 4.6 out of 5,4638 reviews,12 total hours,73 lectures,All Levels,Lazy Programmer Inc.
Complete 2022 Data Science & Machine Learning Bootcamp,https://www.udemy.com/course/python-data-science-machine-learning-bootcamp/,"Learn Python, Tensorflow, Deep Learning, Regression, Classification, Neural Networks, Artificial Intelligence & more!",Rating: 4.6 out of 5,4633 reviews,41.5 total hours,207 lectures,All Levels,"Philipp Muellauer, Dr. Angela Yu"
Advanced AI: Deep Reinforcement Learning in Python,https://www.udemy.com/course/deep-reinforcement-learning-in-python/,The Complete Guide to Mastering Artificial Intelligence using Deep Learning and Neural Networks,Rating: 4.8 out of 5,4568 reviews,10.5 total hours,79 lectures,Expert,"Lazy Programmer Team, Lazy Programmer Inc."
Deep Learning: Advanced Natural Language Processing and RNNs,https://www.udemy.com/course/deep-learning-advanced-nlp/,"Natural Language Processing (NLP) with Sequence-to-sequence (seq2seq), Attention, CNNs, RNNs, and Memory Networks!",Rating: 4.6 out of 5,4564 reviews,8.5 total hours,65 lectures,All Levels,Lazy Programmer Inc.
Cluster Analysis and Unsupervised Machine Learning in Python,https://www.udemy.com/course/cluster-analysis-unsupervised-machine-learning-python/,"Data science techniques for pattern recognition, data mining, k-means clustering, and hierarchical clustering, and KDE.",Rating: 4.7 out of 5,4523 reviews,8 total hours,56 lectures,Beginner,"Lazy Programmer Team, Lazy Programmer Inc."
R Programming for Statistics and Data Science 2022,https://www.udemy.com/course/r-programming-for-statistics-and-data-science/,R Programming for Data Science & Data Analysis. Applying R for Statistics and Data Visualization with GGplot2 in R,Rating: 4.5 out of 5,4175 reviews,6.5 total hours,126 lectures,All Levels,"365 Careers, 365 Simona (The 365 Team)"
Deployment of Machine Learning Models,https://www.udemy.com/course/deployment-of-machine-learning-models/,Learn how to integrate robust and reliable Machine Learning Pipelines in Production,Rating: 4.4 out of 5,4044 reviews,10.5 total hours,147 lectures,Intermediate,"Soledad Galli, Christopher Samiullah"
Deep Learning: Recurrent Neural Networks in Python,https://www.udemy.com/course/deep-learning-recurrent-neural-networks-in-python/,"GRU, LSTM, Time Series Forecasting, Stock Predictions, Natural Language Processing (NLP) using Artificial Intelligence",Rating: 4.6 out of 5,4025 reviews,12 total hours,72 lectures,All Levels,Lazy Programmer Inc.
Python & Machine Learning for Financial Analysis,https://www.udemy.com/course/ml-and-python-in-finance-real-cases-and-practical-solutions/,Master Python Programming Fundamentals and Harness the Power of ML to Solve Real-World Practical Applications in Finance,Rating: 4.5 out of 5,3944 reviews,23 total hours,131 lectures,All Levels,"Dr. Ryan Ahmed, Ph.D., MBA, Mitchell Bouchard"
Apache Spark 3 - Spark Programming in Python for Beginners,https://www.udemy.com/course/apache-spark-programming-in-python-for-beginners/,Data Engineering using Spark Structured API,Rating: 4.5 out of 5,3887 reviews,6.5 total hours,61 lectures,All Levels,"Prashant Kumar Pandey, Learning Journal"
Intro to Data Science: Your Step-by-Step Guide To Starting,https://www.udemy.com/course/intro-to-data-science/,"Learn the critical elements of Data Science, from visualization to databases to Python and more, in just 6 weeks!",Rating: 4.5 out of 5,3754 reviews,5.5 total hours,42 lectures,Beginner,"Kirill Eremenko, Hadelin de Ponteves, Ligency I Team, Ligency Team"
Deep Learning Prerequisites: Logistic Regression in Python,https://www.udemy.com/course/data-science-logistic-regression-in-python/,"Data science, machine learning, and artificial intelligence in Python for students and professionals",Rating: 4.6 out of 5,3715 reviews,6.5 total hours,59 lectures,All Levels,Lazy Programmer Inc.
The Complete Self-Driving Car Course - Applied Deep Learning,https://www.udemy.com/course/applied-deep-learningtm-the-complete-self-driving-car-course/,"Learn to use Deep Learning, Computer Vision and Machine Learning techniques to Build an Autonomous Car with Python",Rating: 4.4 out of 5,3659 reviews,18 total hours,171 lectures,All Levels,"Rayan Slim, Amer Sharaf, Jad Slim, Sarmad Tanveer"
Introduction to Natural Language Processing (NLP),https://www.udemy.com/course/natural-language-processing/,Learn how to analyze text data.,Rating: 4.3 out of 5,3494 reviews,3 total hours,41 lectures,Beginner,Brian Sacash
PyTorch for Deep Learning with Python Bootcamp,https://www.udemy.com/course/pytorch-for-deep-learning-with-python-bootcamp/,Learn how to create state of the art neural networks for deep learning with Facebook's PyTorch Deep Learning library!,Rating: 4.6 out of 5,3443 reviews,17 total hours,97 lectures,All Levels,Jose Portilla
Unsupervised Machine Learning Hidden Markov Models in Python,https://www.udemy.com/course/unsupervised-machine-learning-hidden-markov-models-in-python/,"HMMs for stock price analysis, language modeling, web analytics, biology, and PageRank.",Rating: 4.5 out of 5,3441 reviews,9.5 total hours,64 lectures,All Levels,"Lazy Programmer Team, Lazy Programmer Inc."
Mathematical Foundations of Machine Learning,https://www.udemy.com/course/machine-learning-data-science-foundations-masterclass/,"Essential Linear Algebra and Calculus Hands-On in NumPy, TensorFlow, and PyTorch",Rating: 4.6 out of 5,3406 reviews,16.5 total hours,113 lectures,All Levels,"Dr Jon Krohn, Ligency I Team, Ligency Team"
Streaming Big Data with Spark Streaming and Scala - Hands On,https://www.udemy.com/course/taming-big-data-with-spark-streaming-hands-on/,"Spark Streaming tutorial covering Spark Structured Streaming, Kafka integration, and streaming big data in real-time.",Rating: 4.4 out of 5,3322 reviews,6.5 total hours,37 lectures,All Levels,"Sundog Education by Frank Kane, Frank Kane, Sundog Education Team"
Artificial Intelligence for Business,https://www.udemy.com/course/ai-for-business/,Solve Real World Business Problems with AI Solutions,Rating: 4.6 out of 5,3201 reviews,15 total hours,118 lectures,Beginner,"Hadelin de Ponteves, Kirill Eremenko, Ligency I Team, Ligency Team"
AWS Certified Machine Learning Specialty (MLS-C01),https://www.udemy.com/course/aws-machine-learning-a-complete-guide-with-python/,Hands on AWS ML SageMaker Course with Practice Test. Join Live Study Group Q&A!,Rating: 4.6 out of 5,3149 reviews,18 total hours,256 lectures,All Levels,Chandra Lingam
Deep Learning with Python and Keras,https://www.udemy.com/course/deep-learning-with-python-and-keras/,"Understand and build Deep Learning models for images, text  and more using Python and Keras",Rating: 4.4 out of 5,3043 reviews,10 total hours,148 lectures,Intermediate,"Data Weekends, Jose Portilla, Francesco Mosconi"
Modern Deep Learning in Python,https://www.udemy.com/course/data-science-deep-learning-in-theano-tensorflow/,"Build with modern libraries like Tensorflow, Theano, Keras, PyTorch, CNTK, MXNet. Train faster with GPU on AWS.",Rating: 4.8 out of 5,2915 reviews,11.5 total hours,89 lectures,All Levels,Lazy Programmer Inc.
An Introduction to Machine Learning for Data Engineers,https://www.udemy.com/course/an-introduction-to-machine-learning-for-data-engineers/,A Prerequisite for Tensorflow on Google's Cloud Platform for Data Engineers,Rating: 4.4 out of 5,2898 reviews,1 total hour,46 lectures,Beginner,Mike West
R Level 1 - Data Analytics with R,https://www.udemy.com/course/r-level1/,Use R for Data Analytics and Data Mining,Rating: 4.4 out of 5,2868 reviews,8.5 total hours,87 lectures,Beginner,R-Tutorials Training
Machine Learning with Javascript,https://www.udemy.com/course/machine-learning-with-javascript/,Master Machine Learning from scratch using Javascript and TensorflowJS with hands-on projects.,Rating: 4.7 out of 5,2795 reviews,17.5 total hours,187 lectures,Beginner,Stephen Grider
R Programming For Absolute Beginners,https://www.udemy.com/course/r-programming-course-for-absolute-beginners/,Learn the basics of writing code in R - your first step to become a data scientist,Rating: 4.8 out of 5,2744 reviews,9.5 total hours,119 lectures,Beginner,Bogdan Anastasiei
Python-Introduction to Data Science and Machine learning A-Z,https://www.udemy.com/course/python-introduction-to-data-science-and-machine-learning-a-z/,Python basics Learn Python for Data Science Python For Machine learning and Python Tips and tricks,Rating: 4.1 out of 5,2645 reviews,7.5 total hours,52 lectures,Beginner,Yassin Marco
Feature Engineering for Machine Learning,https://www.udemy.com/course/feature-engineering-for-machine-learning/,"Learn imputation, variable encoding, discretization, feature extraction, how to work with datetime, outliers, and more.",Rating: 4.6 out of 5,2622 reviews,10.5 total hours,138 lectures,Intermediate,Soledad Galli
Machine Learning Practical: 6 Real-World Applications,https://www.udemy.com/course/machine-learning-practical/,Machine Learning - Get Your Hands Dirty by Solving Real Industry Challenges with Python,Rating: 4.1 out of 5,2529 reviews,8.5 total hours,83 lectures,Intermediate,"Dr. Ryan Ahmed, Ph.D., MBA, Ligency I Team, Rony Sulca, Ligency Team"
Data Science: Supervised Machine Learning in Python,https://www.udemy.com/course/data-science-supervised-machine-learning-in-python/,Full Guide to Implementing Classic Machine Learning Algorithms in Python and with Scikit-Learn,Rating: 4.6 out of 5,2526 reviews,6.5 total hours,53 lectures,Beginner,"Lazy Programmer Team, Lazy Programmer Inc."
Deep Learning: GANs and Variational Autoencoders,https://www.udemy.com/course/deep-learning-gans-and-variational-autoencoders/,"Generative Adversarial Networks and Variational Autoencoders in Python, Theano, and Tensorflow",Rating: 4.8 out of 5,2477 reviews,7.5 total hours,54 lectures,Intermediate,"Lazy Programmer Team, Lazy Programmer Inc."
Data Science 2022 : Complete Data Science & Machine Learning,https://www.udemy.com/course/complete-data-science-and-machine-learning-using-python/,"Learn and master the Data Science, Python for Machine Learning, Math for Machine Learning, Statistics for Data Science",Rating: 4.6 out of 5,2461 reviews,26 total hours,281 lectures,All Levels,"Jitesh Khurkhuriya, Python, Data Science & Machine Learning A-Z Team"
Artificial Intelligence & Machine Learning for Business,https://www.udemy.com/course/artificial-intelligence-machine-learning-business/,"The Ultimate Artificial Intelligence & Machine Learning course for CxOs, Managers, Team Leaders and Entrepreneurs",Rating: 4.4 out of 5,2458 reviews,5.5 total hours,48 lectures,All Levels,Analytics Vidhya
Introduction to Time Series Analysis and Forecasting in R,https://www.udemy.com/course/time-series-analysis-and-forecasting-in-r/,"Work with time series and all sorts of time related data in R - Forecasting, Time Series Analysis, Predictive Analytics",Rating: 4.5 out of 5,2450 reviews,8.5 total hours,74 lectures,All Levels,R-Tutorials Training
Careers in Data Science A-Z™,https://www.udemy.com/course/careers-in-data-science-a-ztm/,"How to Become a Top Level Data Scientist - Learn What to Expect, How to be Prepared, How to Stand Out and More...",Rating: 3.7 out of 5,2449 reviews,3.5 total hours,52 lectures,Beginner,"Kirill Eremenko, Hadelin de Ponteves, Ligency I Team, Ligency Team"
Python for Statistical Analysis,https://www.udemy.com/course/python-for-statistical-analysis/,Master applied Statistics with Python by solving real-world problems with state-of-the-art software and libraries,Rating: 4.7 out of 5,2414 reviews,8.5 total hours,56 lectures,Beginner,"Samuel Hinton, Kirill Eremenko, Ligency I Team, Ligency Team"
Data Science Career Guide - Interview Preparation,https://www.udemy.com/course/data-science-career-guide-interview-preparation/,Prepare for your Data Science Interview with this full guide on a career in Data Science including practice questions!,Rating: 4.3 out of 5,2374 reviews,4 total hours,110 lectures,All Levels,Jose Portilla
The Beginner's Guide to Artificial Intelligence (Unity 2022),https://www.udemy.com/course/artificial-intelligence-in-unity/,A practical guide to programming non-player characters for games in the Unity Game Engine with C#,Rating: 4.6 out of 5,2210 reviews,30 total hours,185 lectures,Beginner,"Penny de Byl, Penny @Holistic3D.com"
Deep Learning with TensorFlow 2.0 [2022],https://www.udemy.com/course/machine-learning-with-tensorflow-for-business-intelligence/,"Build Deep Learning Algorithms with TensorFlow 2.0, Dive into Neural Networks and Apply Your Skills in a Business Case",Rating: 4.5 out of 5,2210 reviews,6 total hours,111 lectures,All Levels,"365 Careers, 365 Careers Team"
Complete Machine Learning with R Studio - ML for 2022,https://www.udemy.com/course/machine-learning-with-r-studio/,"Linear & Logistic Regression, Decision Trees, XGBoost, SVM & other ML models in R programming language - R studio",Rating: 4.6 out of 5,2193 reviews,12 total hours,112 lectures,All Levels,Start-Tech Academy
Unsupervised Deep Learning in Python,https://www.udemy.com/course/unsupervised-deep-learning-in-python/,"Autoencoders, Restricted Boltzmann Machines, Deep Neural Networks, t-SNE and PCA",Rating: 4.6 out of 5,2074 reviews,10 total hours,79 lectures,Intermediate,"Lazy Programmer Team, Lazy Programmer Inc."
"Ensemble Machine Learning in Python: Random Forest, AdaBoost",https://www.udemy.com/course/machine-learning-in-python-random-forest-adaboost/,"Ensemble Methods: Boosting, Bagging, Boostrap, and Statistical Machine Learning for Data Science in Python",Rating: 4.7 out of 5,1849 reviews,5.5 total hours,44 lectures,All Levels,"Lazy Programmer Team, Lazy Programmer Inc."
A Complete Guide on TensorFlow 2.0 using Keras API,https://www.udemy.com/course/tensorflow-2/,Build Amazing Applications of Deep Learning and Artificial Intelligence in TensorFlow 2.0,Rating: 4.4 out of 5,1830 reviews,13 total hours,133 lectures,Beginner,"Hadelin de Ponteves, Ligency I Team, Luka Anicin, Ligency Team"
A Beginner's Guide To Machine Learning with Unity,https://www.udemy.com/course/machine-learning-with-unity/,"Advanced games AI with genetic algorithms, neural networks & Q-learning in C# and Tensorflow for Unity",Rating: 4.5 out of 5,1814 reviews,13 total hours,76 lectures,Intermediate,"Penny de Byl, Penny @Holistic3D.com"
Machine Learning- From Basics to Advanced,https://www.udemy.com/course/step-by-step-guide-to-machine-learning-course/,A beginners guide to learn Machine Learning (including Hands-on projects - From Basic to Advance Level),Rating: 4.0 out of 5,1813 reviews,7 total hours,16 lectures,Beginner,"EdYoda Digital University, Awantik Das"
Statistics for Data Analysis Using R,https://www.udemy.com/course/statistics-using-r/,"Learn Programming in R & R Studio • Descriptive, Inferential Statistics • Plots for Data Visualization • Data Science",Rating: 4.5 out of 5,1794 reviews,12.5 total hours,111 lectures,All Levels,"Sandeep Kumar, ­ Quality Gurus Inc."
PyTorch for Deep Learning and Computer Vision,https://www.udemy.com/course/pytorch-for-deep-learning-and-computer-vision/,Build Highly Sophisticated Deep Learning and Computer Vision Applications with PyTorch,Rating: 4.7 out of 5,1787 reviews,14 total hours,101 lectures,All Levels,"Rayan Slim, Jad Slim, Amer Sharaf, Sarmad Tanveer"
Feature Selection for Machine Learning,https://www.udemy.com/course/feature-selection-for-machine-learning/,"Learn filter, wrapper, and embedded methods, recursive feature elimination, exhaustive search, feature shuffling & more.",Rating: 4.8 out of 5,1761 reviews,6 total hours,87 lectures,Intermediate,Soledad Galli
Complete Data Science Training with Python for Data Analysis,https://www.udemy.com/course/complete-data-science-training-with-python-for-data-analysis/,Beginners python data analytics : Data science introduction : Learn data science : Python data analysis methods tutorial,Rating: 4.2 out of 5,1724 reviews,13 total hours,124 lectures,All Levels,Minerva Singh
Docker Course for Beginners,https://www.udemy.com/course/docker-container-course-for-beginners/,Dive into the world of Docker and learn about Dockerfiles and Container Management,Rating: 4.1 out of 5,1681 reviews,1.5 total hours,11 lectures,Beginner,EdYoda Digital University
"Complete & Practical SAS, Statistics & Data Analysis Course",https://www.udemy.com/course/complete-practical-sas-statistics-data-analysis-course/,"A complete guide and use cases study for job seekers and beginners -- start career in  SAS, Statistics and Data science",Rating: 3.9 out of 5,1675 reviews,16.5 total hours,171 lectures,All Levels,Shenggang Li
