Year,Month,Dom_Pax,Int_Pax,Pax,Dom_Flt,Int_Flt,Flt,Dom_RPM,Int_RPM,RPM,Dom_ASM,Int_ASM,ASM,Dom_LF,Int_LF,LF
2009,3,"53,531,487","7,227,487","60,758,974","747,363","69,764","817,127","46,517,762","18,128,641","64,646,403","57,331,259","24,114,710","81,445,969",81.14,75.18,79.37
2009,4,"52,245,401","7,086,357","59,331,758","728,856","67,069","795,925","45,419,272","18,450,057","63,869,329","55,279,977","23,917,823","79,197,800",82.16,77.14,80.65
2009,5,"52,948,582","6,597,012","59,545,594","748,984","63,841","812,825","45,980,480","18,545,191","64,525,671","56,504,772","24,407,091","80,911,862",81.37,75.98,79.75
2009,6,"55,898,027","7,460,171","63,358,198","760,136","66,341","826,477","49,290,277","20,784,769","70,075,046","57,716,483","25,414,368","83,130,851",85.40,81.78,84.29
2009,7,"59,468,957","8,399,115","67,868,072","793,994","71,164","865,158","52,704,797","22,969,194","75,673,991","60,499,991","27,022,263","87,522,254",87.12,85.00,86.46
2009,8,"56,568,180","8,217,868","64,786,048","781,315","70,022","851,337","50,467,288","22,619,720","73,087,008","59,356,980","26,667,531","86,024,512",85.02,84.82,84.96
2009,9,"48,235,025","6,219,954","54,454,979","709,793","57,696","767,489","41,656,736","18,400,287","60,057,023","52,447,273","22,830,033","75,277,306",79.43,80.60,79.78
2009,10,"52,279,405","6,295,084","58,574,489","726,573","58,273","784,846","44,781,574","18,053,025","62,834,599","54,453,800","22,015,791","76,469,591",82.24,82.00,82.17
2009,11,"48,584,832","6,008,261","54,593,093","694,749","58,724","753,473","41,573,015","16,087,062","57,660,077","52,483,155","20,614,479","73,097,634",79.21,78.04,78.88
2009,12,"49,793,438","6,892,742","56,686,180","704,840","64,801","769,641","43,650,676","18,175,003","61,825,679","54,631,259","22,325,659","76,956,918",79.90,81.41,80.34
2010,1,"45,501,620","6,816,044","52,317,664","694,852","66,583","761,435","40,301,481","17,841,075","58,142,556","53,795,975","23,088,105","76,884,080",74.92,77.27,75.62
2010,2,"42,440,614","6,014,415","48,455,029","622,999","59,833","682,832","36,997,641","14,973,899","51,971,540","47,817,552","20,153,781","67,971,333",77.37,74.30,76.46
2010,3,"54,424,077","7,531,317","61,955,394","739,894","69,737","809,631","47,619,591","19,146,484","66,766,075","57,080,653","23,685,717","80,766,370",83.43,80.84,82.67
2010,4,"52,498,074","6,941,422","59,439,496","722,566","66,054","788,620","45,662,025","17,935,164","63,597,189","55,280,651","22,592,040","77,872,690",82.60,79.39,81.67
2010,5,"53,842,422","7,402,599","61,245,021","741,574","68,031","809,605","46,953,589","20,542,809","67,496,398","56,898,062","25,079,577","81,977,639",82.52,81.91,82.34
2010,6,"56,689,853","8,100,494","64,790,347","751,326","70,427","821,753","50,387,611","22,717,510","73,105,121","58,353,230","26,433,891","84,787,121",86.35,85.94,86.22
2010,7,"59,142,493","9,052,302","68,194,795","782,439","76,123","858,562","53,095,873","24,587,686","77,683,559","61,069,806","28,347,052","89,416,858",86.94,86.74,86.88
2010,8,"57,370,748","8,646,519","66,017,267","781,423","72,823","854,246","51,439,492","23,775,852","75,215,344","60,357,973","27,771,651","88,129,624",85.22,85.61,85.35
2010,9,"50,304,708","6,847,457","57,152,165","718,643","60,368","779,011","43,694,603","20,411,172","64,105,775","54,729,805","24,382,358","79,112,164",79.84,83.71,81.03
2010,10,"54,826,050","7,072,483","61,898,533","737,224","62,454","799,678","47,283,497","20,434,096","67,717,592","56,731,943","24,764,165","81,496,108",83.35,82.51,83.09
2010,11,"51,420,350","6,510,189","57,930,539","704,372","60,704","765,076","44,351,331","17,630,685","61,982,017","54,609,482","22,486,741","77,096,223",81.22,78.40,80.40
2010,12,"51,076,415","7,271,391","58,347,806","702,581","66,014","768,595","45,067,192","19,358,086","64,425,278","55,745,538","24,054,993","79,800,532",80.84,80.47,80.73
2011,1,"46,304,921","7,155,472","53,460,393","681,152","68,426","749,578","41,187,426","19,013,720","60,201,146","53,804,562","24,876,445","78,681,007",76.55,76.43,76.51
2011,2,"43,657,818","6,205,658","49,863,476","625,530","61,615","687,145","38,285,134","15,742,124","54,027,258","49,106,329","22,192,337","71,298,667",77.96,70.93,75.78
2011,3,"55,649,428","7,733,473","63,382,901","754,669","71,925","826,594","48,992,221","19,689,006","68,681,228","59,209,942","25,743,795","84,953,737",82.74,76.48,80.85
2011,4,"52,858,479","7,495,073","60,353,552","720,073","68,663","788,736","46,567,364","19,768,711","66,336,076","56,686,501","25,411,596","82,098,097",82.15,77.79,80.80
2011,5,"55,982,234","7,671,950","63,654,184","743,778","67,680","811,458","49,026,667","21,312,827","70,339,494","57,969,795","26,131,180","84,100,975",84.57,81.56,83.64
2011,6,"57,778,699","8,256,632","66,035,331","756,675","69,903","826,578","51,552,204","23,096,822","74,649,026","59,955,599","27,224,840","87,180,439",85.98,84.84,85.63
2011,7,"60,310,295","9,384,241","69,694,536","783,811","76,305","860,116","54,459,007","25,415,397","79,874,404","62,492,240","29,384,342","91,876,583",87.15,86.49,86.94
2011,8,"57,403,835","8,677,482","66,081,317","767,948","71,574","839,522","51,570,688","24,132,052","75,702,739","60,248,852","28,178,615","88,427,467",85.60,85.64,85.61
2011,9,"50,982,170","6,893,283","57,875,453","706,395","61,645","768,040","44,580,290","20,488,322","65,068,612","54,480,405","24,945,913","79,426,318",81.83,82.13,81.92
2011,10,"54,124,363","6,884,408","61,008,771","723,222","62,821","786,043","46,972,407","19,893,658","66,866,065","56,160,266","24,800,208","80,960,473",83.64,80.22,82.59
2011,11,"51,660,083","6,431,880","58,091,963","682,660","60,778","743,438","44,780,150","17,325,552","62,105,702","53,639,815","22,099,606","75,739,421",83.48,78.40,82.00
2011,12,"51,534,907","7,331,513","58,866,420","701,348","67,821","769,169","45,673,434","19,339,617","65,013,051","56,330,875","24,186,935","80,517,810",81.08,79.96,80.74
2012,1,"47,080,430","7,155,733","54,236,163","677,704","68,013","745,717","41,673,200","18,915,701","60,588,901","53,426,991","24,645,715","78,072,706",78.00,76.75,77.61
2012,2,"46,405,102","6,518,477","52,923,579","647,027","64,878","711,905","40,440,608","16,583,021","57,023,629","51,244,942","23,176,387","74,421,328",78.92,71.55,76.62
2012,3,"56,200,104","8,059,960","64,260,064","728,636","73,363","801,999","49,693,743","20,638,910","70,332,653","58,846,026","25,826,784","84,672,810",84.45,79.91,83.06
2012,4,"53,691,455","7,608,446","61,299,901","706,994","68,925","775,919","47,240,808","20,120,006","67,360,814","56,495,318","25,056,043","81,551,361",83.62,80.30,82.60
2012,5,"55,749,349","7,728,905","63,478,254","725,712","69,813","795,525","49,075,103","21,625,365","70,700,468","58,102,674","26,487,067","84,589,741",84.46,81.64,83.58
2012,6,"57,903,293","8,509,172","66,412,465","735,084","72,160","807,244","51,958,863","23,588,863","75,547,726","59,980,845","27,267,695","87,248,539",86.63,86.51,86.59
2012,7,"59,688,267","9,298,946","68,987,213","757,484","76,163","833,647","54,239,648","24,933,954","79,173,602","62,452,527","28,885,438","91,337,965",86.85,86.32,86.68
2012,8,"58,646,304","8,892,354","67,538,658","753,441","74,196","827,637","52,870,434","24,375,248","77,245,683","61,026,426","28,226,626","89,253,052",86.64,86.36,86.55
2012,9,"50,134,504","7,098,414","57,232,918","677,990","62,528","740,518","43,861,215","20,931,047","64,792,261","54,386,931","24,996,737","79,383,668",80.65,83.74,81.62
2012,10,"53,779,646","6,952,685","60,732,331","694,712","62,790","757,502","46,661,129","19,851,567","66,512,697","55,378,572","24,322,370","79,700,942",84.26,81.62,83.45
2012,11,"51,844,482","6,710,058","58,554,540","669,260","61,817","731,077","45,148,868","17,774,579","62,923,447","54,524,126","22,326,176","76,850,301",82.81,79.61,81.88
2012,12,"51,165,451","7,500,932","58,666,383","670,793","67,858","738,651","45,818,778","19,607,025","65,425,803","56,181,473","24,156,714","80,338,186",81.55,81.17,81.44
2013,1,"47,816,859","7,331,420","55,148,279","662,014","68,653","730,667","42,716,886","19,226,952","61,943,838","54,130,019","24,414,793","78,544,812",78.92,78.75,78.86
2013,2,"45,740,158","6,564,112","52,304,270","607,564","62,950","670,514","40,360,477","16,726,427","57,086,904","49,951,073","22,147,136","72,098,209",80.80,75.52,79.18
2013,3,"56,564,538","8,327,386","64,891,924","710,137","73,801","783,938","50,591,912","21,085,987","71,677,898","59,506,857","25,537,593","85,044,451",85.02,82.57,84.28
2013,4,"53,228,575","7,562,330","60,790,905","693,876","69,117","762,993","47,323,331","20,045,084","67,368,414","57,130,620","25,447,607","82,578,227",82.83,78.77,81.58
2013,5,"56,562,929","8,023,420","64,586,349","721,429","70,699","792,128","50,124,875","22,377,482","72,502,358","59,071,089","26,997,317","86,068,406",84.86,82.89,84.24
2013,6,"57,990,789","8,883,643","66,874,432","719,340","72,922","792,262","52,826,886","24,553,427","77,380,313","60,724,524","28,241,852","88,966,376",86.99,86.94,86.98
2013,7,"59,310,478","9,709,009","69,019,487","751,473","77,429","828,902","54,754,440","26,042,187","80,796,627","63,316,272","29,900,939","93,217,210",86.48,87.09,86.68
2013,8,"58,115,405","9,403,309","67,518,714","747,070","75,176","822,246","53,123,226","25,714,167","78,837,393","62,097,316","29,469,344","91,566,659",85.55,87.26,86.10
2013,9,"50,766,098","7,255,037","58,021,135","683,379","62,011","745,390","44,654,213","21,483,923","66,138,136","55,225,708","25,751,134","80,976,841",80.86,83.43,81.68
2013,10,"54,706,177","7,274,427","61,980,604","708,414","64,554","772,968","47,859,063","20,748,717","68,607,779","57,851,883","25,572,700","83,424,583",82.73,81.14,82.24
2013,11,"50,542,332","6,880,849","57,423,181","655,776","63,286","719,062","44,420,301","18,154,243","62,574,544","55,462,933","23,420,132","78,883,064",80.09,77.52,79.33
2013,12,"54,332,936","7,967,171","62,300,107","662,288","69,136","731,424","49,132,863","20,735,571","69,868,434","57,751,867","25,019,442","82,771,309",85.08,82.88,84.41
2014,1,"47,957,371","7,671,576","55,628,947","624,812","68,624","693,436","43,564,242","20,028,742","63,592,984","54,016,077","25,155,594","79,171,671",80.65,79.62,80.32
2014,2,"45,513,184","6,770,046","52,283,230","577,191","63,469","640,660","40,543,404","16,936,813","57,480,217","49,369,928","22,614,187","71,984,116",82.12,74.89,79.85
2014,3,"57,761,938","8,503,133","66,265,071","696,376","76,064","772,440","51,862,069","21,310,134","73,172,203","60,675,476","26,884,781","87,560,258",85.47,79.26,83.57
2014,4,"55,247,482","8,094,515","63,341,997","676,337","71,580","747,917","49,245,719","21,103,585","70,349,305","57,998,604","26,343,479","84,342,083",84.91,80.11,83.41
2014,5,"57,888,637","8,479,378","66,368,015","695,855","72,994","768,849","51,524,009","23,291,494","74,815,503","59,709,929","28,271,254","87,981,183",86.29,82.39,85.04
2014,6,"59,261,855","9,196,927","68,458,782","701,992","76,431","778,423","53,979,753","25,120,695","79,100,448","61,760,043","29,751,163","91,511,206",87.40,84.44,86.44
2014,7,"61,757,222","9,988,913","71,746,135","735,424","80,457","815,881","56,874,287","26,435,210","83,309,497","64,773,257","31,266,476","96,039,732",87.81,84.55,86.74
2014,8,"59,758,814","9,629,317","69,388,131","723,997","76,481","800,478","54,640,338","26,231,520","80,871,859","62,868,005","30,621,247","93,489,252",86.91,85.66,86.50
2014,9,"52,529,329","7,342,936","59,872,265","665,490","62,408","727,898","46,336,496","21,739,193","68,075,689","56,458,422","26,575,230","83,033,652",82.07,81.80,81.99
2014,10,"57,084,257","7,286,846","64,371,103","693,925","63,369","757,294","50,112,975","20,835,706","70,948,681","59,584,323","26,072,467","85,656,790",84.10,79.91,82.83
2014,11,"52,577,733","7,049,844","59,627,577","648,891","64,800","713,691","46,352,174","18,524,898","64,877,072","56,949,527","24,321,971","81,271,498",81.39,76.17,79.83
2014,12,"55,486,727","8,165,573","63,652,300","666,264","71,191","737,455","50,303,173","21,132,922","71,436,095","60,270,587","26,175,094","86,445,681",83.46,80.74,82.64
2015,1,"49,727,583","7,936,993","57,664,576","634,734","69,893","704,627","45,137,552","20,498,038","65,635,591","56,980,250","26,025,329","83,005,579",79.22,78.76,79.07
2015,2,"47,164,538","6,886,262","54,050,800","569,972","62,648","632,620","42,248,126","17,238,321","59,486,447","51,251,150","22,933,198","74,184,348",82.43,75.17,80.19
2015,3,"59,557,228","8,524,515","68,081,743","683,892","72,926","756,818","53,924,945","21,511,252","75,436,197","62,860,123","27,071,647","89,931,770",85.79,79.46,83.88
2015,4,"57,698,044","8,119,223","65,817,267","669,783","70,846","740,629","51,883,045","20,959,421","72,842,466","61,116,535","27,197,262","88,313,797",84.89,77.06,82.48
2015,5,"60,251,945","8,567,847","68,819,792","690,116","71,597","761,713","54,255,235","23,490,547","77,745,782","63,393,874","29,064,149","92,458,022",85.58,80.82,84.09
2015,6,"61,810,705","9,352,818","71,163,523","697,378","74,020","771,398","56,994,796","25,448,026","82,442,822","65,232,947","30,162,970","95,395,918",87.37,84.37,86.42
2015,7,"65,128,528","10,395,270","75,523,798","732,753","78,536","811,289","60,430,804","27,573,804","88,004,608","68,556,515","32,116,607","100,673,122",88.15,85.86,87.42
2015,8,"62,770,180","9,981,208","72,751,388","723,998","75,991","799,989","57,819,107","27,156,489","84,975,596","66,730,854","31,564,671","98,295,526",86.65,86.03,86.45
2015,9,"55,989,104","7,656,359","63,645,463","658,392","62,367","720,759","49,857,937","22,404,240","72,262,177","59,511,944","27,510,443","87,022,387",83.78,81.44,83.04
2015,10,"60,892,131","7,739,519","68,631,650","687,710","63,662","751,372","54,074,370","21,786,470","75,860,840","62,551,345","26,675,237","89,226,582",86.45,81.67,85.02
2015,11,"57,150,501","7,332,481","64,482,982","651,176","63,492","714,668","50,913,042","18,876,704","69,789,747","60,467,124","24,179,274","84,646,398",84.20,78.07,82.45
2015,12,"57,870,281","8,410,860","66,281,141","659,785","70,945","730,730","53,118,963","21,432,815","74,551,779","63,241,198","26,711,528","89,952,725",83.99,80.24,82.88
2016,1,"52,473,830","8,220,234","60,694,064","636,761","70,476","707,237","48,074,919","20,930,267","69,005,186","59,672,179","26,332,010","86,004,190",80.57,79.49,80.23
2016,2,"51,111,121","7,276,912","58,388,033","612,176","65,905","678,081","46,460,173","17,857,305","64,317,478","57,466,885","24,198,863","81,665,748",80.85,73.79,78.76
2016,3,"61,592,900","8,846,249","70,439,149","697,830","74,166","771,996","56,704,006","21,722,335","78,426,341","66,469,561","27,375,245","93,844,807",85.31,79.35,83.57
2016,4,"58,893,676","8,236,909","67,130,585","675,633","71,002","746,635","53,623,641","21,272,344","74,895,985","63,775,636","27,557,124","91,332,760",84.08,77.19,82.00
2016,5,"62,752,121","8,658,474","71,410,595","702,944","72,121","775,065","57,131,517","23,417,723","80,549,240","66,545,323","29,545,223","96,090,546",85.85,79.26,83.83
2016,6,"64,757,222","9,649,641","74,406,863","713,634","75,070","788,704","60,278,319","26,042,153","86,320,472","68,799,336","30,831,533","99,630,870",87.61,84.47,86.64
2016,7,"66,134,540","10,651,750","76,786,290","731,044","78,726","809,770","62,349,210","28,079,998","90,429,208","71,524,171","32,640,788","104,164,959",87.17,86.03,86.81
2016,8,"63,498,165","9,851,036","73,349,201","731,988","74,906","806,894","59,282,098","26,662,752","85,944,849","69,971,791","31,634,549","101,606,340",84.72,84.28,84.59
